actor/clip_fraction,actor/entropy,actor/iterations,actor/kl,actor/loss,actor/std,actor/stop,critic/iterations,critic/loss,critic/v,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
0.026483918,-0.88364685,80.0,0.0036186953,-0.0014619892,0.10000001,0.0,80.0,190.5148,13.787088,1.2994416,0.030730413,-1.3724432,5000,0.7966781,1000,1000.0,1000,5,0.0,784.4453755803406,775.1447253197432,768.2698515355587,5,5.213916136102693,1.4036871,0.029932957,-1.3358707,20000,0.7989926,1000,1000.0,1000,20,0.0,788.605966925621,779.0355159798171,769.3128373418003,20,4.828566177096132,20.0,44.30562233924866,20000.0,1.0,44.30562233924866,20000.0,451.40997787729447,20000.0
0.027654419,-0.88364685,80.0,0.003042102,-0.0016434538,0.10000002,0.0,80.0,73.64607,38.67999,1.3340269,0.03076428,-1.3241428,5000,0.79566973,1000,1000.0,1000,5,0.0,784.5478887916543,780.4699378912337,777.1003387495875,5,2.60423030515515,1.3846083,0.031420477,-1.3739111,20000,0.7971892,1000,1000.0,1000,20,0.0,789.9169008247554,780.6246323793545,769.2181889861822,20,5.042291014943997,40.0,44.056920289993286,20000.0,2.0,88.43785047531128,40000.0,453.9581947252593,40000.0
0.012592163,-0.88364685,80.0,0.0024743334,-0.00086373434,0.10000002,0.0,80.0,23.17707,56.497482,1.4304309,0.008021857,-1.3474433,5000,0.8069439,1000,1000.0,1000,5,0.0,790.6899134851992,783.8307047953189,774.2593468266132,5,5.39967476798359,1.3538706,0.022412788,-1.3644542,20000,0.8009267,1000,1000.0,1000,20,0.0,793.1454897336662,783.9161188979342,774.766832023859,20,5.10364211614103,60.0,43.09566926956177,20000.0,3.0,131.60965085029602,60000.0,464.08375456245415,60000.0
0.019562379,-0.88364685,80.0,0.0022879061,-0.001277271,0.10000002,0.0,80.0,6.3978796,67.99202,1.3136044,0.018964427,-1.3211145,5000,0.8041069,1000,1000.0,1000,5,0.0,798.4388445913792,791.7518616445362,787.618479186669,5,3.927097264498355,1.4046165,0.027969703,-1.3885741,20000,0.8047093,1000,1000.0,1000,20,0.0,797.6373506039381,785.5328228112688,757.7262848545797,20,8.369050521519162,80.0,49.36433172225952,20000.0,4.0,181.04155015945435,80000.0,405.1508306144361,80000.0
0.03910278,-0.88364685,80.0,0.0032976693,-0.0024803139,0.10000002,0.0,80.0,1.8404489,74.93222,1.3389282,0.021704493,-1.3676523,5000,0.8105379,1000,1000.0,1000,5,0.0,806.2124450989068,797.5204924639314,791.0108202435076,5,4.902073732853528,1.3597296,0.017955534,-1.3813919,20000,0.807683,1000,1000.0,1000,20,0.0,803.8000959288329,795.4487307035422,785.9260968817398,20,5.470022702001731,100.0,47.36730909347534,20000.0,5.0,228.47379517555237,100000.0,422.2321339920684,100000.0
0.028244019,-0.88364685,80.0,0.0039299396,-0.0019884834,0.10000002,0.0,80.0,0.76261383,78.79118,1.3592863,0.019217782,-1.3481336,5000,0.8116513,1000,1000.0,1000,5,0.0,809.9678352028131,804.9049773300067,800.9157879985869,5,3.1889917909079135,1.4160256,0.020412574,-1.3637981,20000,0.8098459,1000,1000.0,1000,20,0.0,809.4194660242647,799.2444960615715,792.1338765360415,20,5.212301652407051,120.0,42.98486828804016,20000.0,6.0,271.5397791862488,120000.0,465.2800112351321,120000.0
0.020076293,-0.88364685,80.0,0.0025668028,-0.001239429,0.10000002,0.0,80.0,0.539363,80.70481,1.3702651,0.027089372,-1.3853301,5000,0.813767,1000,1000.0,1000,5,0.0,810.7077703308314,807.1652580540627,801.8214626461267,5,3.3523619555259176,1.4214277,0.02614008,-1.3624913,20000,0.81180155,1000,1000.0,1000,20,0.0,814.9689893461764,803.9625705710641,795.4806814889889,20,5.607310359013417,140.0,44.595046520233154,20000.0,7.0,316.2159090042114,140000.0,448.4803035450547,140000.0
0.030787963,-0.88364685,80.0,0.0030635449,-0.0019770807,0.10000002,0.0,80.0,0.48656,81.7646,1.3916405,0.028997129,-1.387011,5000,0.82016855,1000,1000.0,1000,5,0.0,822.6284835785627,816.1102079249919,809.0593437850475,5,5.569826821891129,1.4756942,0.029107304,-1.3638928,20000,0.81663775,1000,1000.0,1000,20,0.0,817.9648902267218,807.2553208203404,772.7767495773733,20,10.454513151949905,160.0,45.84635305404663,20000.0,8.0,362.13341760635376,160000.0,436.2397152162292,160000.0
0.04586029,-0.88364685,80.0,0.0043604234,-0.003075153,0.10000001,0.0,80.0,0.3473971,82.41887,1.3559444,0.01943489,-1.3495804,5000,0.8186812,1000,1000.0,1000,5,0.0,827.7452011108398,821.937601315137,812.4197098398581,5,5.173893303188931,1.4153682,0.03505983,-1.458659,20000,0.8188564,1000,1000.0,1000,20,0.0,823.7041369578801,813.0115224313137,798.4536130577326,20,6.330839961215967,180.0,42.42752027511597,20000.0,9.0,404.62336349487305,180000.0,471.39214996098036,180000.0
0.028140258,-0.88364685,80.0,0.0032264567,-0.0021994452,0.10000002,0.0,80.0,0.268458,83.414825,1.3515973,0.013426726,-1.377686,5000,0.8198231,1000,1000.0,1000,5,0.0,829.8337604917251,824.072150648509,819.9357425905764,5,3.560924537176295,1.3541803,0.018041011,-1.4553,20000,0.8194483,1000,1000.0,1000,20,0.0,831.3319928050041,823.4973469488323,815.895700249821,20,5.387905646157365,200.0,51.843684911727905,20000.0,10.0,456.5469329357147,200000.0,385.7750473187462,200000.0
0.037772827,-0.88364685,80.0,0.004043358,-0.0027886706,0.10000002,0.0,80.0,0.22846703,84.00586,1.3766192,0.024866745,-1.3389581,5000,0.81576794,1000,1000.0,1000,5,0.0,841.7717869281769,830.3063524711877,820.0777907799929,5,8.970035227873282,1.439643,0.018133383,-1.4281766,20000,0.8183717,1000,1000.0,1000,20,0.0,839.3837388157845,826.575568080449,794.795495018363,20,10.096777062326707,220.0,39.65308928489685,20000.0,11.0,496.26137685775757,220000.0,504.37432141302645,220000.0
0.045580443,-0.88364685,80.0,0.0052954294,-0.0034705088,0.10000002,0.0,80.0,0.19641517,84.58121,1.3296283,0.015849086,-1.3637304,5000,0.812561,1000,1000.0,1000,5,0.0,838.2993395738304,831.0387487214059,825.9669448863715,5,4.043028890893996,1.4078174,0.02318417,-1.4031891,20000,0.81218755,1000,1000.0,1000,20,0.0,844.0794171839952,830.272971713345,823.6694643348455,20,5.8763588565876885,240.0,47.16693687438965,20000.0,12.0,543.4888155460358,240000.0,424.0258393980944,240000.0
0.032858275,-0.88364685,80.0,0.003275637,-0.0026604491,0.10000002,0.0,80.0,0.26319563,85.02309,1.4821517,0.023790572,-1.3157216,5000,0.8075997,1000,1000.0,1000,5,0.0,845.2030613236129,837.0403089492581,829.7506069466472,5,4.932786238531349,1.4051204,0.024852987,-1.4706911,20000,0.8097097,1000,1000.0,1000,20,0.0,847.3968486189842,835.7034647948283,823.6642845831811,20,7.2067585955499025,260.0,41.76155996322632,20000.0,13.0,585.3144037723541,260000.0,478.90931319642414,260000.0
0.031537477,-0.88364685,80.0,0.0024607228,-0.0025177652,0.10000002,0.0,80.0,0.21988365,85.40757,1.3464354,0.01337183,-1.3428146,5000,0.80304456,1000,1000.0,1000,5,0.0,851.4088539555669,846.3228400146588,836.6066343029961,5,5.1428909419845175,1.3512844,0.015408033,-1.4364309,20000,0.8059749,1000,1000.0,1000,20,0.0,849.578627422452,838.1935831852722,828.9449078775942,20,6.069323670488398,280.0,46.17593431472778,20000.0,14.0,631.591561794281,280000.0,433.12604924641477,280000.0
0.041990355,-0.88364685,80.0,0.004537189,-0.0032155002,0.10000002,0.0,80.0,0.1570679,85.978546,1.3986183,0.0058820434,-1.3198473,5000,0.7970028,1000,1000.0,1000,5,0.0,863.4630511701107,852.8647743329406,845.5495059862733,5,5.8403482399013695,1.4256192,0.01842856,-1.3760831,20000,0.79954046,1000,1000.0,1000,20,0.0,862.5249046012759,846.1222763817175,834.3950371667743,20,6.712229217390144,300.0,40.09754014015198,20000.0,15.0,671.7581040859222,300000.0,498.78371416536964,300000.0
0.037073974,-0.88364685,80.0,0.0037620526,-0.0027096488,0.10000002,0.0,80.0,0.1365342,86.819115,1.3730739,0.0229808,-1.3474653,5000,0.7933433,1000,1000.0,1000,5,0.0,863.3902117162943,859.9097210292705,856.9240346476436,5,2.512022528100228,1.4057435,0.016069869,-1.3891194,20000,0.79561305,1000,1000.0,1000,20,0.0,870.3325615376234,855.9490717273147,840.1555494945496,20,7.79705356533208,320.0,41.150386333465576,20000.0,16.0,712.9749369621277,320000.0,486.0221684901896,320000.0
0.04664978,-0.88364685,80.0,0.0045046555,-0.0037921749,0.10000002,0.0,80.0,0.10261666,87.761765,1.3736662,0.016810045,-1.3618608,5000,0.7862903,1000,1000.0,1000,5,0.0,885.1811517551541,872.7493847416248,864.3313376475126,5,7.915718959730319,1.4263963,0.016148223,-1.3584076,20000,0.7915089,1000,1000.0,1000,20,0.0,881.1211613416672,866.2917124150092,849.0413478552364,20,7.851406075936967,340.0,39.136120319366455,20000.0,17.0,752.1798572540283,340000.0,511.0368589628193,340000.0
0.051636506,-0.88364685,80.0,0.006067158,-0.00391156,0.10000001,0.0,80.0,0.10227903,88.736946,1.377736,0.037076317,-1.3461373,5000,0.7806123,1000,1000.0,1000,5,0.0,892.1758161224425,870.4626710920835,815.6884486868512,5,27.82987876262277,1.399361,0.015402824,-1.4152784,20000,0.78373116,1000,1000.0,1000,20,0.0,895.5612649321556,877.3371089001652,858.4753910470754,20,10.517569258777728,360.0,37.914273500442505,20000.0,18.0,790.1594285964966,360000.0,527.5058217788763,360000.0
0.060309447,-0.88364685,80.0,0.0048942626,-0.0038445094,0.10000002,0.0,80.0,0.11383803,89.72144,1.4340425,0.021781554,-1.3279083,5000,0.7623354,1000,1000.0,1000,5,0.0,892.8848864659667,886.1031690630131,878.8789929896593,5,4.956597222144803,1.3843408,0.026259564,-1.4194547,20000,0.7703742,1000,1000.0,1000,20,0.0,906.976943358779,884.827223818819,858.8511542659253,20,11.129647479417603,380.0,38.6118745803833,20000.0,19.0,828.8291873931885,380000.0,517.9753694258856,380000.0
0.042001344,-0.88364685,80.0,0.004482345,-0.0027155587,0.10000002,0.0,80.0,0.106396265,90.4677,1.3809606,0.027212,-1.47135,5000,0.74969274,1000,1000.0,1000,5,0.0,891.2409896180034,880.8333582915366,867.7895711176097,5,8.910013355817144,1.3876172,0.017667865,-1.3805947,20000,0.75639045,1000,1000.0,1000,20,0.0,901.3532126843929,885.0236962812953,872.6583030195907,20,7.687847398681717,400.0,39.27594494819641,20000.0,20.0,868.1872050762177,400000.0,509.2175382764004,400000.0
0.034034424,-0.88364685,80.0,0.0037727482,-0.0016932791,0.10000002,0.0,80.0,0.11896718,90.38781,1.3805892,0.01372198,-1.393372,5000,0.7447574,1000,1000.0,1000,5,0.0,880.957953825593,876.9431190787815,873.6961519750766,5,2.4740333775637993,1.3974926,0.015472413,-1.3866502,20000,0.74738735,1000,1000.0,1000,20,0.0,896.4909567832947,879.7779380368753,843.5213871989399,20,12.49673895920034,420.0,38.69771933555603,20000.0,21.0,906.967371225357,420000.0,516.8263231891216,420000.0
0.028136596,-0.88364685,80.0,0.0037350284,-0.0017041073,0.10000002,0.0,80.0,0.109339654,89.981064,1.3257914,0.0106062535,-1.3456914,5000,0.73442334,1000,1000.0,1000,5,0.0,881.8906947523355,879.1718968492002,873.5656783822924,5,2.9887031906832204,1.3804005,0.00736125,-1.4052804,20000,0.74002236,1000,1000.0,1000,20,0.0,902.1653896272182,877.0603773688315,834.6763146303128,20,12.858719203657829,440.0,39.598060131073,20000.0,22.0,946.6498498916626,440000.0,505.07524696407535,440000.0
0.030021973,-0.88364685,80.0,0.0034394634,-0.0017327453,0.10000002,0.0,80.0,0.08539298,89.76032,1.3508573,0.0041404567,-1.3800274,5000,0.74575317,1000,1000.0,1000,5,0.0,888.0345576126128,884.574524979014,879.3798445016146,5,3.008298106131204,1.4144456,0.017509293,-1.3976805,20000,0.7354796,1000,1000.0,1000,20,0.0,886.7737610191107,874.3311853641644,849.5664950869977,20,8.255341340927533,460.0,40.77877616882324,20000.0,23.0,987.489100933075,460000.0,490.45120719661713,460000.0
0.0330072,-0.88364685,80.0,0.0050681145,-0.0015581972,0.10000002,0.0,80.0,0.09005461,89.81455,1.3934668,0.025764896,-1.4145889,5000,0.76231515,1000,1000.0,1000,5,0.0,893.0004781889438,881.5636636922776,859.4292451607762,5,11.756508141176196,1.4017103,0.022961538,-1.3737864,20000,0.74951637,1000,1000.0,1000,20,0.0,899.978612780571,878.887499890104,815.5015834160149,20,18.0384139087752,480.0,42.61107635498047,20000.0,24.0,1030.1606945991516,480000.0,469.36153016614327,480000.0
0.034957275,-0.88364685,80.0,0.0036464608,-0.0019445169,0.10000002,0.0,80.0,0.074146815,90.93963,1.3705667,0.013473923,-1.4091609,5000,0.7775055,1000,1000.0,1000,5,0.0,914.6492779776454,898.0471593693364,885.6589065250009,5,11.335335477254283,1.3949143,0.013634097,-1.3909323,20000,0.7703803,1000,1000.0,1000,20,0.0,906.2928729169071,891.1708733927866,872.7149649560452,20,9.667501899171587,500.0,45.85097670555115,20000.0,25.0,1076.0720658302307,500000.0,436.19572443216055,500000.0
